Time,Flow,Pressure,ANFIS_Output
0.3125,1.1,2.5,-7.103757692675782
0.316,1.1,2.5,-7.104740244399537
0.3194,1.1,2.5,-7.1056913052491195
0.3229,1.1,2.5,-7.10666628417951
0.3264,1.1,2.5,-7.107636410177343
0.3299,1.1,2.5,-7.108600680499974
0.3333,1.1,2.5,-7.109530532127195
0.3333,1.1,2.5,-7.109530532127195
0.3368,1.1,2.5,-7.11047895886774
0.3403,1.1,2.5,-7.111416238646
0.3438,1.1,2.5,-7.112339448742771
0.3472,1.1,2.5,-7.113219267276887
0.3507,1.0,4.5,-7.6651123084419694
0.3542,1.0,4.5,-7.666059577952871
0.3576,1.0,4.5,-7.66694085563344
0.3611,1.0,4.5,-7.667797849481207
0.3646,1.0,4.5,-7.668591402151721
0.3681,1.0,4.5,-7.669306363605599
0.3715,1.0,4.5,-7.669908711745559
0.375,1.0,4.5,-7.670413794659901
0.3785,1.0,4.5,-7.67077941211707
0.3819,1.0,4.5,-7.670977482542279
0.3854,1.0,4.5,-7.670994808161079
0.3889,1.0,4.5,-7.6707988928278
0.3924,1.0,4.5,-7.670369371955238
0.3958,1.0,4.5,-7.669715742441672
0.3993,1.0,4.5,-7.66879664737804
0.4028,1.0,4.5,-7.667638143462637
0.4063,1.0,4.5,-7.666266161616144
0.4097,1.0,4.5,-7.664768249306043
0.4132,1.0,4.5,-7.663109615861267
0.4167,1.0,4.5,-7.66139525064193
0.4201,1.0,4.5,-7.659738848248595
0.4236,1.0,4.5,-7.658103364808549
0.4271,1.0,4.5,-7.656590509250719
0.4306,1.0,4.5,-7.655239799381594
0.434,1.0,4.5,-7.654106859742631
0.4375,1.0,4.5,-7.653136355170217
0.441,1.0,4.5,-7.652364477430966
0.4444,1.0,4.5,-7.651796611228364
0.4479,1.0,4.5,-7.6513850885799455
0.4514,1.0,4.5,-7.651131312022954
0.4549,1.0,4.5,-7.651015969119201
0.4583,1.0,4.5,-7.651018286451353
0.4618,1.0,4.5,-7.651120743391083
0.4653,1.0,4.5,-7.651308445701067
0.4688,1.0,4.5,-7.651566865610389
0.4722,1.0,4.5,-7.651873690733082
0.4757,1.0,4.5,-7.652236517749893
0.4792,1.0,4.5,-7.6526380986594535
0.4826,1.0,4.5,-7.653058225960009
0.4861,1.1,2.5,-7.104751290266466
0.4896,1.1,2.5,-7.105181972046624
0.4931,1.1,2.5,-7.1056263465959075
0.4965,1.1,2.5,-7.106068451106257
0.5,1.1,2.5,-7.106532100004261
0.5035,1.1,2.5,-7.107002667874479
0.5069,1.1,2.5,-7.107465114555247
0.5104,1.1,2.5,-7.107945613360606
0.5139,1.1,2.5,-7.108429834612168
0.5174,1.1,2.5,-7.108917177669465
0.5208,1.1,2.5,-7.1093931624589075
0.5243,1.1,2.5,-7.109885464511734
0.5278,1.1,2.5,-7.110379870456441
0.5313,1.1,2.5,-7.11087618326067
0.5347,1.1,2.5,-7.111359981010354
0.5382,1.1,2.5,-7.111859562417284
0.5417,1.1,2.5,-7.11236054421182
0.5451,1.0,4.5,-7.662618402211665
0.5486,1.0,4.5,-7.663194415157116
0.5521,1.0,4.5,-7.66377374505541
0.5556,1.0,4.5,-7.664356574386342
0.559,1.0,4.5,-7.664926343058644
0.5625,1.0,4.5,-7.665516914269227
0.566,1.0,4.5,-7.666112084902442
0.5694,1.0,4.5,-7.6666953211852515
0.5729,1.0,4.5,-7.6673018898640946
0.5764,1.0,4.5,-7.667916073622032
0.5799,1.0,4.5,-7.6685397349426365
0.5833,1.0,4.5,-7.669157039138472
0.5868,1.0,4.5,-7.669807569912503
0.5903,1.0,4.5,-7.670477740013683
0.5938,1.0,4.5,-7.671173204550609
0.5972,1.0,4.5,-7.671879785088976
0.6007,1.0,4.5,-7.672647626076932
0.6042,1.0,4.5,-7.673466960071081
0.6076,1.0,4.5,-7.6743237381661205
0.6111,1.1,2.5,-7.121981392099274
0.6146,1.1,2.5,-7.122478676479105
0.6181,1.1,2.5,-7.123008910520165
0.6215,1.1,2.5,-7.123567639856098
0.625,1.1,2.5,-7.124200909848731
0.6285,1.1,2.5,-7.124906064876719
0.6319,1.1,2.5,-7.12567056073367
0.6354,1.1,2.5,-7.1265471992281775
0.6389,1.0,4.5,-7.686840509946813
0.6424,1.0,4.5,-7.688777989546067
0.6458,1.0,4.5,-7.690713814302249
0.6493,1.0,4.5,-7.692738717890886
0.6528,1.0,4.5,-7.694774664982186
0.6563,1.0,4.5,-7.69680336677872
0.6597,1.0,4.5,-7.698753889070438
0.6632,1.0,4.5,-7.700731599234189
0.6667,1.0,4.5,-7.702673154033022
0.6701,1.0,4.5,-7.704522434384061
0.6736,1.0,4.5,-7.7063884382135335
0.6771,1.0,4.5,-7.70821818682591
0.6806,1.0,4.5,-7.710014753472313
0.684,1.0,4.5,-7.71173168060401
0.6875,1.0,4.5,-7.713473721715699
0.691,1.0,4.5,-7.7151937564892865
0.6944,1.0,4.5,-7.716846940716096
0.6979,1.0,4.5,-7.718533662370037
0.7014,1.0,4.5,-7.720207894992262
0.7049,1.0,4.5,-7.721872094679311
0.7083,1.1,2.5,-7.155279062643162
0.7118,1.1,2.5,-7.156736861929783
0.7153,1.1,2.5,-7.158193656097487
0.7188,1.1,2.5,-7.159649758801999
0.7222,1.1,2.5,-7.161063837727509
0.7257,1.1,2.5,-7.162519261373648
0.7292,1.1,2.5,-7.163974564205684
0.7326,1.1,2.5,-7.165388238416689
